account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_eve_minutes,total_night_charge,total_intl_minutes,total_intl_calls,number_customer_service_calls,payment_delay,state_freq_encoded
143,0,1,22,141.8,167.3,8.01,7.8,3,1,0,0.0211764705882352
168,0,0,0,183.2,179.2,13.18,9.9,5,2,0,0.0203921568627451
104,0,0,0,234.2,293.1,8.28,9.8,6,0,1,0.0145098039215686
116,0,0,0,63.7,195.8,9.45,10.0,6,1,0,0.0145098039215686
80,0,0,0,206.3,154.9,11.86,12.4,12,0,0,0.0207843137254901
39,0,1,17,230.7,207.1,9.4,9.2,1,3,0,0.0231372549019607
53,0,0,0,261.2,250.8,7.92,9.8,2,0,1,0.0211764705882352
73,0,0,0,187.8,149.2,9.06,11.0,4,2,0,0.0184313725490196
101,0,0,0,206.6,224.9,11.25,14.6,3,0,0,0.0156862745098039
145,1,0,0,113.0,187.0,6.61,10.9,7,1,0,0.0215686274509803
102,1,0,0,78.4,214.7,5.38,7.2,5,0,0,0.0184313725490196
93,0,0,0,152.1,215.5,11.81,12.0,7,1,0,0.0211764705882352
103,0,0,0,190.9,226.6,10.35,7.8,3,2,0,0.0137254901960784
177,1,0,0,248.7,172.3,8.64,11.3,2,1,1,0.0137254901960784
166,0,0,0,197.9,251.0,6.22,11.2,2,2,0,0.0192156862745098
137,0,0,0,248.3,250.4,7.16,9.6,4,1,0,0.0156862745098039
55,0,1,25,165.6,136.1,7.91,11.0,2,3,0,0.0184313725490196
90,0,0,0,259.1,124.0,8.47,12.8,3,0,0,0.0231372549019607
166,0,0,0,220.7,177.8,9.27,12.4,9,1,0,0.0231372549019607
112,0,0,0,172.7,244.5,10.9,4.1,1,0,0,0.0137254901960784
88,0,0,0,131.5,174.8,8.29,7.9,2,5,1,0.0337254901960784
146,0,0,0,138.4,158.9,2.13,3.9,9,4,1,0.0207843137254901
216,0,0,0,212.3,191.1,10.12,9.4,8,3,0,0.0250980392156862
190,0,0,0,150.9,268.6,8.1,14.7,1,1,0,0.0149019607843137
91,1,0,0,151.8,103.6,7.03,12.2,4,1,0,0.0223529411764705
56,0,0,0,121.6,165.3,10.98,8.9,2,1,0,0.016078431372549
108,0,0,0,103.0,242.3,7.66,7.9,3,1,0,0.0137254901960784
144,0,1,26,177.1,206.0,11.47,6.6,2,2,0,0.0215686274509803
122,0,1,37,163.0,312.8,9.0,11.6,5,1,0,0.0254901960784313
84,0,0,0,127.7,188.4,11.7,4.7,6,1,0,0.0172549019607843
2,0,1,27,141.7,160.7,7.66,9.3,2,1,0,0.0262745098039215
90,0,0,0,140.8,303.0,12.03,14.1,1,0,0,0.0164705882352941
118,1,1,39,153.8,123.3,5.3,9.2,6,1,0,0.0184313725490196
145,0,0,0,199.2,126.0,13.01,7.6,3,1,0,0.0274509803921568
74,0,0,0,124.0,262.1,12.07,11.7,2,2,0,0.0337254901960784
123,0,1,22,197.6,80.0,5.44,15.6,12,2,0,0.0184313725490196
131,0,0,0,263.4,151.9,9.83,10.7,2,2,0,0.0188235294117647
74,0,0,0,314.1,222.4,11.66,12.3,5,3,1,0.0250980392156862
110,0,0,0,188.0,90.5,6.76,15.3,3,3,0,0.0207843137254901
117,0,0,0,158.7,181.7,7.98,7.7,10,2,0,0.0223529411764705
10,0,0,0,222.2,153.1,10.23,12.9,4,1,0,0.0274509803921568
160,0,0,0,256.0,187.4,5.36,11.5,4,3,0,0.0168627450980392
110,0,0,0,192.6,178.9,9.66,9.4,4,1,0,0.0231372549019607
122,0,0,0,152.0,162.8,7.29,9.3,3,1,0,0.0211764705882352
52,0,0,0,209.8,171.3,6.96,9.9,9,4,0,0.0168627450980392
222,0,0,0,256.6,230.8,10.62,12.2,5,1,1,0.0168627450980392
77,0,0,0,134.5,119.7,11.28,9.3,5,0,0,0.0172549019607843
176,0,1,23,283.2,162.6,8.0,7.2,6,1,0,0.0168627450980392
85,0,0,0,116.9,183.3,13.83,10.0,8,2,0,0.0337254901960784
82,0,1,29,163.8,134.9,3.57,8.8,2,2,0,0.0192156862745098
111,0,1,36,166.2,238.8,4.9,11.2,2,3,0,0.0211764705882352
84,0,0,0,204.1,164.4,7.43,0.0,0,1,0,0.0156862745098039
191,0,0,0,162.0,241.2,9.47,10.9,7,1,0,0.0337254901960784
72,1,0,0,274.0,162.8,4.95,7.7,3,4,0,0.0262745098039215
140,0,1,27,176.0,201.3,7.56,7.1,5,3,0,0.0164705882352941
84,0,0,0,146.8,171.7,10.55,9.9,3,1,0,0.0337254901960784
47,0,1,37,163.5,203.1,10.44,7.8,4,2,0,0.0254901960784313
160,0,1,29,164.6,262.8,5.57,15.2,4,1,0,0.0172549019607843
151,0,1,26,196.5,175.8,9.98,13.4,5,0,0,0.0188235294117647
115,0,0,0,226.4,276.8,9.6,12.3,4,3,1,0.0203921568627451
109,1,1,46,165.2,136.0,8.32,11.9,5,1,0,0.0262745098039215
41,0,1,41,207.3,137.3,5.21,5.9,3,1,0,0.0176470588235294
142,1,1,25,191.1,149.6,10.25,9.8,3,0,0,0.0184313725490196
99,0,1,42,216.0,232.3,9.7,9.3,4,2,1,0.0274509803921568
178,0,0,0,179.7,276.6,7.64,10.1,7,3,0,0.0215686274509803
132,0,0,0,126.8,243.2,10.05,7.1,5,3,0,0.0215686274509803
122,0,0,0,126.0,147.0,12.61,5.6,4,0,0,0.0262745098039215
184,1,0,0,213.8,159.6,6.26,5.0,10,2,0,0.0211764705882352
67,0,0,0,164.5,110.3,9.18,9.8,2,1,0,0.0176470588235294
73,1,0,0,202.9,285.9,9.86,12.8,5,1,0,0.0180392156862745
90,0,0,0,180.0,229.4,7.3,13.2,9,1,0,0.0254901960784313
104,0,0,0,280.4,179.4,6.78,15.2,6,5,0,0.0203921568627451
10,0,0,0,183.0,214.8,9.29,8.7,6,2,0,0.0211764705882352
138,0,1,33,214.9,288.7,11.82,8.1,2,0,0,0.0207843137254901
108,0,1,32,209.5,109.6,8.54,9.1,6,6,1,0.0250980392156862
87,0,0,0,124.3,173.4,11.53,7.5,5,3,0,0.0337254901960784
62,0,0,0,159.9,172.2,11.84,5.6,4,1,0,0.0192156862745098
12,0,0,0,206.1,246.6,11.46,12.1,7,2,0,0.0176470588235294
71,0,0,0,243.7,60.0,8.5,11.3,2,0,0,0.0262745098039215
65,0,0,0,207.7,217.5,5.65,8.0,5,1,0,0.0203921568627451
52,0,1,21,195.7,106.2,7.08,5.3,3,2,0,0.0337254901960784
86,0,1,32,70.9,166.7,11.02,11.1,5,3,0,0.0196078431372549
92,1,0,0,264.3,160.9,8.94,9.3,5,0,0,0.0211764705882352
111,0,0,0,226.3,178.9,8.17,8.9,4,0,0,0.0211764705882352
91,0,1,20,146.1,277.4,6.2,6.2,3,1,0,0.0254901960784313
12,0,0,0,249.6,252.4,12.61,11.8,3,1,1,0.0196078431372549
96,0,1,29,150.0,159.4,10.26,8.5,3,1,0,0.0137254901960784
68,0,0,0,195.4,212.1,6.23,15.1,11,1,0,0.0262745098039215
103,1,0,0,255.9,140.9,13.9,12.1,2,1,1,0.0192156862745098
116,0,0,0,137.4,120.0,5.86,12.4,2,3,0,0.0192156862745098
120,0,1,23,221.9,254.7,11.27,7.2,5,2,0,0.0192156862745098
113,0,0,0,215.5,218.7,9.32,6.6,9,4,0,0.0188235294117647
104,0,0,0,139.7,199.8,8.52,10.3,2,2,0,0.0274509803921568
86,0,1,33,253.1,210.1,4.27,11.9,4,3,0,0.0207843137254901
130,0,0,0,143.8,274.8,8.76,12.3,1,0,0,0.0250980392156862
33,0,0,0,200.5,159.9,8.83,16.3,6,3,0,0.0149019607843137
101,0,1,21,238.0,209.6,10.49,10.0,5,2,0,0.0215686274509803
94,0,0,0,252.6,169.0,7.69,11.1,7,2,0,0.016078431372549
109,1,0,0,186.5,190.3,7.58,10.5,6,2,0,0.0215686274509803
111,0,0,0,294.7,294.6,11.7,10.8,3,1,1,0.0215686274509803
21,0,0,0,197.6,206.4,7.63,9.6,2,3,0,0.0176470588235294
131,0,1,29,42.1,183.3,7.14,10.0,1,0,0,0.0203921568627451
217,0,0,0,99.7,183.1,9.91,14.4,4,0,0,0.0215686274509803
121,0,1,12,127.2,241.6,7.95,13.2,3,3,0,0.0215686274509803
48,0,1,36,230.9,167.6,12.15,7.6,4,3,0,0.0211764705882352
65,0,0,0,148.7,259.0,6.73,12.7,6,2,0,0.0207843137254901
98,0,0,0,147.0,202.5,11.29,9.2,3,1,0,0.0156862745098039
49,0,0,0,119.3,215.1,8.04,11.1,1,1,0,0.0149019607843137
164,0,0,0,160.6,163.2,8.42,9.0,3,1,0,0.0262745098039215
129,1,0,0,267.4,204.2,5.03,5.9,4,1,0,0.0176470588235294
79,0,0,0,130.2,290.9,8.77,14.0,6,3,0,0.0176470588235294
100,0,0,0,160.3,221.3,6.77,11.2,2,0,0,0.0223529411764705
52,0,1,24,229.1,168.7,11.04,14.6,2,1,0,0.0133333333333333
144,0,1,37,219.9,222.1,5.33,10.0,4,1,0,0.0231372549019607
41,0,1,24,247.6,199.7,9.8,12.1,6,1,0,0.0211764705882352
25,0,0,0,144.1,224.8,5.98,13.6,3,4,1,0.0211764705882352
122,1,0,0,146.3,218.7,10.62,11.5,5,1,0,0.0207843137254901
130,0,0,0,162.8,290.3,5.17,7.2,3,1,0,0.0176470588235294
63,0,0,0,211.8,230.9,9.77,10.7,9,3,0,0.0184313725490196
135,1,0,0,177.2,209.3,10.63,11.1,5,2,0,0.0184313725490196
67,0,1,35,245.4,148.2,12.33,7.5,6,1,0,0.0250980392156862
116,0,0,0,160.7,146.8,12.95,8.2,5,0,0,0.0207843137254901
57,1,0,0,227.4,146.4,9.51,8.3,5,1,0,0.0192156862745098
63,0,0,0,147.8,201.4,6.97,8.6,8,1,0,0.0337254901960784
129,0,0,0,52.2,128.8,6.38,9.4,12,1,0,0.0145098039215686
1,0,1,26,69.7,250.4,10.36,8.3,3,2,0,0.0207843137254901
24,0,1,41,187.1,286.1,8.46,10.4,2,1,0,0.0192156862745098
45,0,1,29,135.8,222.5,10.6,7.9,6,2,0,0.0149019607843137
109,0,0,0,222.5,169.7,11.89,9.0,3,2,0,0.0156862745098039
87,0,0,0,240.0,134.1,8.51,9.3,2,0,1,0.0211764705882352
11,0,1,38,209.8,196.6,10.49,7.0,7,1,0,0.0337254901960784
134,0,0,0,204.7,143.1,7.46,11.0,4,6,0,0.0231372549019607
104,0,0,0,97.2,155.6,11.77,12.4,5,0,0,0.0231372549019607
98,0,0,0,158.5,254.4,8.03,14.8,5,2,0,0.0227450980392156
120,0,0,0,185.7,235.1,11.54,16.9,6,0,0,0.0168627450980392
66,0,1,40,141.7,268.3,10.86,8.5,7,0,0,0.0184313725490196
113,0,1,28,264.4,222.8,9.62,10.0,4,1,0,0.0337254901960784
42,0,0,0,150.7,246.7,4.67,7.0,4,2,0,0.0211764705882352
42,0,0,0,251.1,178.3,8.31,12.7,5,0,0,0.0192156862745098
105,0,1,24,274.7,193.5,13.48,10.8,3,3,0,0.0168627450980392
71,0,1,27,151.2,228.0,7.64,5.6,17,0,0,0.0207843137254901
77,0,1,17,204.9,201.0,9.89,11.3,5,0,0,0.0215686274509803
141,0,1,43,157.8,132.3,6.17,5.6,2,2,0,0.0137254901960784
78,0,0,0,211.4,249.9,8.98,9.3,2,2,0,0.0188235294117647
109,0,1,40,155.9,161.2,10.31,11.5,13,0,0,0.0137254901960784
111,0,0,0,171.5,204.4,10.75,10.7,4,3,0,0.0337254901960784
104,0,1,26,189.1,178.2,8.97,11.1,4,1,0,0.0254901960784313
63,0,0,0,83.0,177.0,11.06,13.0,3,0,0,0.0172549019607843
31,0,0,0,97.5,260.4,3.99,7.0,5,1,0,0.016078431372549
169,0,0,0,276.1,123.5,11.79,11.9,5,1,0,0.0168627450980392
27,0,0,0,232.1,210.8,7.44,15.0,6,5,0,0.0211764705882352
62,0,0,0,119.3,224.0,7.05,12.1,6,5,1,0.0250980392156862
73,0,1,31,82.3,256.1,10.33,11.8,2,6,1,0.0215686274509803
102,0,0,0,144.4,266.5,9.79,7.1,7,0,0,0.0176470588235294
120,0,0,0,192.6,206.4,12.74,10.8,3,1,0,0.0337254901960784
155,0,0,0,250.5,146.1,7.39,8.4,3,1,0,0.0176470588235294
87,0,0,0,151.0,219.7,9.18,9.7,3,5,1,0.0262745098039215
83,0,0,0,227.9,207.5,9.53,12.1,5,1,0,0.0207843137254901
143,0,1,33,141.4,186.4,9.45,7.7,6,1,0,0.0133333333333333
96,0,1,23,183.1,147.4,15.76,11.3,7,1,0,0.0203921568627451
104,0,0,0,156.2,193.0,10.02,13.1,5,1,0,0.0254901960784313
131,0,1,29,239.7,212.8,8.45,10.5,2,1,0,0.0168627450980392
205,0,0,0,49.9,150.7,8.47,10.1,4,2,0,0.0203921568627451
93,0,1,32,218.7,115.0,8.67,9.4,5,2,0,0.0215686274509803
165,0,0,0,154.2,268.6,8.5,10.9,4,6,0,0.0211764705882352
126,0,1,24,58.9,305.5,7.15,12.1,6,0,0,0.0215686274509803
148,0,0,0,208.4,174.4,13.98,11.2,4,1,0,0.0254901960784313
73,0,0,0,224.4,159.5,8.68,13.0,2,1,0,0.0227450980392156
111,0,0,0,214.3,208.5,8.21,12.0,2,1,0,0.0337254901960784
81,0,0,0,234.1,237.4,10.83,11.4,4,1,0,0.0192156862745098
135,0,1,18,180.1,152.5,11.62,12.7,9,1,0,0.0184313725490196
70,0,0,0,325.5,300.3,8.99,5.7,7,1,1,0.0192156862745098
73,0,1,26,131.2,106.5,9.98,10.2,6,2,0,0.0211764705882352
118,0,0,0,224.6,225.9,12.11,12.5,8,2,0,0.0192156862745098
70,0,1,31,125.9,196.4,11.37,10.3,4,1,0,0.0192156862745098
87,0,0,0,115.4,262.6,11.06,13.1,5,2,0,0.0192156862745098
60,0,0,0,145.0,209.1,14.78,14.6,2,1,0,0.0211764705882352
112,0,0,0,115.8,243.3,8.31,13.1,5,1,0,0.0231372549019607
132,1,1,18,130.7,186.1,9.22,11.9,6,0,0,0.0192156862745098
121,0,0,0,168.6,168.6,4.29,12.3,4,1,0,0.0172549019607843
67,1,1,35,181.1,215.9,9.73,16.9,4,0,1,0.0176470588235294
70,0,0,0,230.3,77.9,11.12,13.2,4,1,0,0.0223529411764705
130,0,0,0,139.1,246.0,9.32,11.4,9,5,0,0.0133333333333333
142,0,0,0,243.4,161.4,5.42,10.0,5,4,0,0.0337254901960784
53,0,1,37,167.3,194.7,10.65,12.0,9,2,0,0.0250980392156862
57,0,0,0,166.4,76.8,11.7,10.9,3,3,0,0.0215686274509803
43,0,0,0,203.5,116.4,8.3,13.6,5,1,0,0.0207843137254901
99,0,0,0,238.4,246.5,8.93,12.4,4,3,0,0.0137254901960784
162,0,0,0,49.2,143.9,9.14,12.1,13,1,0,0.0211764705882352
173,0,0,0,291.8,214.3,6.8,9.9,2,0,1,0.0262745098039215
54,1,0,0,214.1,240.5,8.5,10.1,3,1,0,0.0176470588235294
67,0,0,0,215.5,190.7,9.65,8.6,6,1,0,0.0207843137254901
180,0,0,0,143.5,189.3,7.87,8.8,5,3,0,0.0207843137254901
117,0,0,0,201.9,212.3,7.96,7.8,10,1,0,0.0188235294117647
174,0,0,0,192.1,169.9,7.5,11.4,4,1,0,0.0231372549019607
25,1,0,0,161.7,216.1,7.95,12.4,6,1,0,0.0231372549019607
87,1,0,0,207.8,182.2,7.35,13.0,3,1,0,0.0145098039215686
116,0,1,44,230.6,224.1,10.98,11.1,2,0,0,0.0231372549019607
80,0,0,0,51.5,164.0,7.62,9.5,4,3,0,0.0172549019607843
75,0,0,0,209.4,211.5,13.1,7.2,4,1,0,0.0215686274509803
85,0,0,0,255.3,194.6,12.45,3.7,5,3,0,0.0262745098039215
143,0,0,0,172.3,174.0,8.47,13.0,4,2,0,0.0211764705882352
69,0,0,0,170.7,111.6,7.72,4.8,7,3,0,0.0133333333333333
163,1,0,0,197.2,188.5,9.5,7.8,8,1,0,0.0145098039215686
43,0,0,0,165.8,132.0,14.54,10.7,6,0,0,0.0184313725490196
57,0,1,24,140.2,170.1,6.47,14.0,1,1,0,0.0215686274509803
68,0,0,0,222.1,199.4,7.31,9.4,3,2,0,0.0203921568627451
72,0,1,27,111.7,252.8,11.5,7.8,4,1,0,0.0207843137254901
66,0,0,0,116.4,95.6,8.17,10.5,3,3,0,0.0215686274509803
119,0,0,0,197.2,168.1,9.44,4.2,2,1,0,0.0188235294117647
